chunk_id,topic_id,relevance
209,1,0.946
210,11,0.832
210,22,0.672
211,10,0.855
211,26,0.54
212,11,0.855
212,6,0.57
213,7,0.808
214,17,0.993
214,9,0.612
215,17,0.806
215,19,0.38
216,17,0.705
217,7,0.976
218,7,0.918
219,7,0.875
219,27,0.411
220,7,0.882
220,30,0.462
221,17,0.701
222,7,0.732
222,10,0.436
223,7,0.735
224,17,0.777
225,17,0.938
225,15,0.686
226,17,0.869
227,17,0.927
228,7,0.838
228,19,0.645
229,17,0.845
229,13,0.553
230,15,0.998
231,23,0.769
231,12,0.507
232,17,0.703
233,23,0.774
233,22,0.6
234,15,0.803
235,23,0.754
235,7,0.658
236,17,0.781
237,12,0.905
238,12,0.85
238,24,0.397
239,17,0.78
239,27,0.4
240,6,0.886
240,4,0.348
241,12,0.724
242,6,0.848
242,28,0.517
243,10,0.713
243,20,0.426
244,10,0.969
245,12,0.872
245,6,0.694
246,15,0.975
246,8,0.6
247,19,0.738
248,15,0.827
249,22,0.71
249,28,0.575
250,15,0.752
251,25,0.909
251,23,0.303
252,25,0.902
252,4,0.43
253,22,0.884
253,18,0.405
254,25,0.781
255,15,0.803
255,14,0.384
256,15,0.91
256,28,0.46
257,23,0.835
258,23,0.994
259,16,0.944
260,25,0.941
261,23,0.957
261,26,0.684
262,16,0.745
263,16,0.753
263,29,0.64
264,16,0.855
265,25,0.936
265,18,0.643
266,25,0.714
266,6,0.324
267,25,0.944
267,21,0.339
268,16,0.923
268,12,0.524
269,23,0.98
269,1,0.465
270,16,0.805
271,16,0.882
272,16,0.895
273,23,0.994
273,11,0.569
274,16,0.846
275,26,0.967
275,10,0.486
276,6,0.987
277,16,0.892
278,23,0.827
279,21,0.821
280,6,0.724
280,11,0.427
281,6,0.787
281,21,0.458
282,26,0.966
283,6,0.982
284,26,0.856
284,6,0.374
285,21,0.707
286,6,0.899
287,6,0.91
288,26,0.819
288,30,0.651
289,23,0.865
289,13,0.51
290,28,0.999
290,20,0.362
291,1,0.896
292,1,0.793
292,10,0.477
293,5,0.738
294,1,0.751
294,12,0.644
295,5,0.798
295,28,0.516
296,28,0.782
296,23,0.516
297,28,0.877
297,24,0.554
298,28,0.869
299,5,0.892
299,12,0.493
300,1,0.768
300,10,0.446
301,5,0.778
301,1,0.509
302,28,0.927
302,10,0.488
303,10,0.702
304,10,0.984
304,1,0.606
305,29,0.939
306,6,0.939
307,29,0.757
308,6,0.831
308,23,0.595
309,10,0.817
309,9,0.332
310,6,0.888
311,10,0.94
312,29,0.908
312,21,0.597
313,28,0.943
314,28,0.721
314,4,0.555
315,28,0.885
315,20,0.497
316,29,0.796
316,18,0.309
317,10,0.992
317,5,0.586
318,28,0.918
318,5,0.306
319,25,0.765
319,26,0.62
320,21,0.999
320,26,0.313
321,25,0.724
322,25,0.744
322,13,0.329
323,21,0.841
323,27,0.4
324,21,0.814
324,25,0.586
325,25,0.815
326,25,0.774
327,21,0.76
328,13,0.728
329,13,0.763
329,10,0.674
330,13,0.748
331,13,0.923
332,13,0.737
332,10,0.379
333,10,0.966
334,13,0.765
334,21,0.474
335,10,0.705
336,13,0.875
336,8,0.304
337,13,0.713
338,18,0.843
339,3,0.811
339,6,0.5
340,10,0.906
340,25,0.55
341,18,0.718
342,3,0.91
343,10,0.738
343,18,0.615
344,10,0.927
345,3,0.832
345,23,0.451
346,13,0.917
346,2,0.494
347,3,0.831
347,23,0.496
348,26,0.87
349,29,0.797
349,28,0.633
350,28,0.974
351,26,0.721
351,10,0.628
352,24,0.862
352,25,0.555
353,29,0.814
353,1,0.548
354,28,0.809
355,29,0.796
355,18,0.628
356,28,0.757
357,24,0.93
357,10,0.429
358,24,0.892
358,17,0.564
359,24,0.713
360,24,0.754
360,4,0.494
361,24,0.73
362,24,0.951
363,28,0.858
364,29,0.777
364,20,0.587
365,9,0.704
366,21,0.897
367,15,0.95
367,21,0.324
368,15,0.867
369,21,0.825
369,23,0.323
370,30,0.885
371,9,0.92
372,21,0.723
372,17,0.339
373,15,0.918
374,2,0.757
375,30,0.775
376,30,0.754
377,27,0.825
377,21,0.531
378,27,0.902
379,2,0.828
379,26,0.372
380,2,0.82
380,6,0.514
381,2,0.88
382,2,0.971
383,2,0.999
384,2,0.824
385,2,0.948
385,8,0.525
386,2,0.764
387,30,0.978
387,15,0.479
388,15,0.819
389,15,0.995
390,15,0.855
391,10,0.791
391,8,0.386
392,15,0.794
393,10,0.983
394,15,0.976
395,15,0.871
396,7,0.728
396,5,0.355
397,22,0.81
398,7,0.77
399,22,0.728
399,30,0.387
400,22,0.723
400,16,0.369
401,22,0.948
402,7,0.873
403,22,0.879
403,24,0.623
404,7,0.814
405,22,0.977
405,29,0.627
406,7,0.825
407,22,0.961
407,21,0.64
408,7,0.979
409,7,0.89
409,17,0.316
410,22,0.862
410,17,0.579
411,8,0.746
412,8,0.999
413,7,0.926
414,8,0.727
414,26,0.458
415,8,0.74
415,19,0.598
416,7,0.864
416,13,0.501
417,8,0.932
417,5,0.492
418,8,0.759
418,19,0.378
419,7,0.885
420,7,0.774
420,25,0.472
421,8,0.905
422,7,0.734
422,12,0.439
423,7,0.796
424,7,0.707
424,12,0.546
425,8,0.997
425,5,0.476
426,8,0.977
426,22,0.45
427,8,0.927
428,7,0.734
428,20,0.671
429,16,0.961
430,28,0.704
431,28,0.733
431,1,0.433
432,28,0.922
432,18,0.509
433,7,0.778
433,24,0.697
434,28,0.909
435,7,0.813
436,16,0.858
436,2,0.414
437,7,0.937
438,7,0.716
439,7,0.703
439,9,0.565
440,28,0.974
440,4,0.308
441,16,0.96
442,16,0.769
442,23,0.34
443,28,0.795
444,16,0.859
444,17,0.687
445,17,0.868
446,17,0.712
447,12,0.791
447,24,0.363
448,17,0.804
448,21,0.421
449,17,0.999
450,17,0.783
450,9,0.651
451,15,0.967
452,15,0.709
453,21,0.784
453,29,0.457
454,28,0.741
455,21,0.856
456,21,0.962
457,28,0.825
458,21,0.828
458,20,0.432
459,21,0.863
459,5,0.532
460,21,0.905
460,5,0.424
461,28,0.912
462,21,0.741
463,21,0.993
463,30,0.526
464,28,0.747
464,18,0.679
465,18,0.736
465,29,0.358
466,12,0.709
466,14,0.684
467,12,0.791
468,13,0.947
469,12,0.922
469,7,0.343
470,18,0.755
471,12,0.884
471,19,0.545
472,13,0.879
472,1,0.444
473,18,0.906
473,17,0.638
474,18,0.841
475,12,0.755
475,16,0.355
476,13,0.758
476,25,0.688
477,18,0.978
478,12,0.767
479,18,0.761
479,6,0.671
480,15,0.996
481,5,0.847
481,15,0.655
482,4,0.828
483,15,0.882
484,4,0.916
484,24,0.529
485,15,0.861
486,5,0.911
486,4,0.481
487,4,0.948
487,8,0.507
488,5,0.819
489,4,0.867
490,20,0.889
490,10,0.476
491,15,0.965
492,4,0.786
492,10,0.545
493,5,0.716
494,5,0.743
495,5,0.836
496,15,0.734
497,5,0.981
498,4,0.741
498,15,0.31
499,1,0.836
500,1,0.969
501,1,0.727
501,21,0.663
502,1,0.939
503,4,0.737
503,15,0.554
504,4,0.726
505,4,0.918
506,1,0.884
506,18,0.452
507,1,0.93
508,1,0.87
509,1,0.745
510,4,0.754
511,1,0.826
511,25,0.684
512,25,0.787
512,29,0.353
513,25,0.761
514,9,0.776
514,28,0.499
515,9,0.942
516,9,0.848
516,22,0.49
517,9,0.823
517,20,0.303
518,9,0.965
518,21,0.523
519,7,0.948
519,5,0.322
520,14,0.805
520,2,0.567
521,17,0.951
521,30,0.335
522,14,0.733
523,17,0.748
523,22,0.577
524,13,0.878
525,13,0.753
525,19,0.444
526,13,0.711
527,14,0.797
528,13,0.946
529,17,0.953
529,16,0.354
530,14,0.908
530,17,0.466
531,14,0.763
531,2,0.344
532,14,0.919
533,28,0.996
533,23,0.542
534,28,0.936
535,10,0.828
536,2,0.778
537,10,0.887
538,28,0.884
538,24,0.553
539,28,0.848
539,20,0.393
540,2,0.787
540,4,0.31
541,10,0.888
541,28,0.383
542,5,0.885
542,2,0.434
543,11,0.868
544,23,0.703
544,10,0.402
545,5,0.72
545,18,0.43
546,11,0.702
547,23,0.802
548,5,0.885
548,6,0.378
549,23,0.95
550,5,0.844
550,2,0.558
551,23,0.844
552,28,0.968
553,19,0.801
554,28,0.824
555,19,0.951
555,24,0.571
556,19,0.867
557,28,0.906
558,19,0.966
558,5,0.412
559,28,0.709
560,19,0.888
561,19,0.871
561,20,0.347
562,19,0.935
562,28,0.426
563,19,0.709
563,16,0.651
564,19,0.811
565,19,0.791
566,16,0.753
566,2,0.611
567,19,0.974
567,1,0.62
568,20,0.971
568,11,0.669
569,30,0.92
570,20,0.933
570,28,0.339
571,14,0.995
572,30,0.998
572,2,0.484
573,20,0.914
574,20,0.701
575,20,0.906
576,14,0.726
576,2,0.341
577,20,0.93
578,14,0.707
579,14,0.892
579,7,0.377
580,14,0.783
580,15,0.568
581,30,0.782
581,4,0.306
582,14,0.887
583,14,0.762
583,11,0.408
584,20,0.983
585,30,0.872
585,10,0.545
586,13,0.802
586,5,0.312
587,19,0.971
587,13,0.322
588,13,0.828
588,20,0.657
589,21,0.889
590,19,0.834
590,11,0.627
591,21,0.914
592,21,0.86
593,21,0.927
593,5,0.337
594,21,0.941
595,21,0.729
596,19,0.913
596,8,0.679
597,13,0.743
598,13,0.777
598,6,0.58
599,21,0.9
600,13,0.965
600,1,0.326
601,25,0.734
601,28,0.368
602,4,0.93
603,29,0.738
603,27,0.586
604,22,0.732
605,4,0.721
605,15,0.46
606,17,0.824
607,17,0.864
608,4,0.815
608,27,0.578
609,22,0.829
610,22,0.87
610,23,0.394
611,29,0.899
611,30,0.585
612,22,0.951
612,20,0.485
613,29,0.867
614,4,0.753
615,4,0.721
615,27,0.539
616,17,0.946
616,21,0.564
617,29,0.727
618,17,0.966
619,5,0.891
620,5,0.898
620,10,0.456
621,4,0.873
621,22,0.651
622,5,0.79
623,5,0.904
624,5,0.981
625,4,0.975
626,5,0.875
627,5,0.853
628,5,0.956
628,29,0.52
629,5,0.716
630,5,0.946
630,28,0.413
631,5,0.709
631,19,0.458
632,5,0.795
632,13,0.474
633,5,0.763
634,5,0.756
634,30,0.444
635,4,0.825
635,28,0.568
636,6,0.74
636,1,0.358
637,30,0.965
638,9,0.992
638,5,0.557
639,30,0.825
639,26,0.578
640,30,0.979
641,6,0.836
641,27,0.48
642,6,0.807
642,20,0.303
643,7,0.849
644,6,0.914
644,30,0.518
645,6,0.81
646,27,0.87
647,27,0.734
647,23,0.332
648,9,0.919
649,27,0.958
650,27,0.784
651,18,0.857
652,9,0.774
653,9,0.899
654,9,0.905
655,9,0.874
656,9,0.971
657,4,0.703
657,29,0.488
658,11,0.92
658,26,0.418
659,5,0.75
660,4,0.879
660,26,0.525
661,11,0.718
661,6,0.529
662,5,0.897
662,24,0.55
663,5,0.786
663,17,0.331
664,5,0.935
664,20,0.412
665,10,0.957
665,4,0.542
666,4,0.973
667,19,0.898
667,6,0.405
668,4,0.91
668,26,0.511
669,11,0.71
670,10,0.99
671,10,0.947
672,5,0.926
672,13,0.395
673,5,0.832
674,19,0.763
675,6,0.804
676,6,0.927
677,11,0.839
677,16,0.598
678,6,0.926
679,6,0.814
680,11,0.842
680,28,0.474
681,11,0.787
682,11,0.815
682,17,0.573
683,11,0.712
684,28,0.891
685,3,0.83
686,28,0.958
686,9,0.621
687,4,0.777
688,3,0.838
689,3,0.773
690,16,0.931
691,4,0.903
692,4,0.794
692,1,0.633
693,3,0.704
693,4,0.574
694,16,0.805
695,3,0.776
695,20,0.337
696,28,0.982
697,3,0.951
698,28,0.891
699,4,0.736
700,3,0.739
701,28,0.97
702,16,0.99
703,2,0.909
703,15,0.564
704,20,0.723
704,9,0.608
705,16,0.908
706,16,0.931
706,25,0.33
707,19,0.933
707,11,0.698
708,2,0.777
709,6,0.753
709,30,0.38
710,2,0.818
711,19,0.733
712,6,0.829
713,6,0.732
713,9,0.341
714,19,0.722
715,16,0.775
715,29,0.499
716,30,0.896
716,2,0.566
717,30,0.78
718,4,0.971
719,21,0.855
720,30,0.847
720,28,0.591
721,30,0.944
721,8,0.301
722,1,0.986
723,21,0.845
724,30,0.981
724,22,0.421
725,4,0.717
726,4,0.894
726,28,0.684
727,4,0.724
727,25,0.416
728,1,0.761
729,1,0.99
730,22,0.79
730,4,0.552
731,4,0.808
731,21,0.475
732,5,0.757
732,1,0.588
733,25,0.878
733,3,0.617
734,25,0.893
734,27,0.625
735,25,0.99
735,11,0.322
736,5,0.936
736,4,0.385
737,25,0.896
738,5,0.982
739,17,0.861
740,7,0.77
740,24,0.357
741,25,0.896
741,30,0.547
742,17,0.773
743,7,0.704
744,7,0.971
745,7,0.729
746,17,0.951
746,27,0.343
747,5,0.849
748,7,0.766
749,17,0.828
750,25,0.995
751,6,0.797
752,25,0.873
752,27,0.686
753,6,0.764
754,6,0.801
754,5,0.603
755,6,0.75
756,25,0.832
757,6,0.712
757,28,0.553
758,25,0.813
758,29,0.495
759,6,0.702
759,3,0.583
760,19,0.878
760,23,0.623
761,30,0.932
762,6,0.762
763,6,0.857
764,30,0.883
764,6,0.587
765,26,0.884
765,27,0.613
766,6,0.804
766,8,0.377
767,6,0.996
768,6,0.886
769,26,0.996
770,30,0.839
771,30,0.762
771,4,0.619
772,6,0.906
773,6,0.842
773,22,0.669
774,18,0.716
774,7,0.474
775,18,0.8
776,18,0.928
776,24,0.321
777,18,0.861
777,1,0.494
778,16,0.735
779,18,0.916
780,16,0.798
780,22,0.659
781,18,0.769
781,8,0.339
782,16,0.921
783,18,0.813
783,16,0.534
784,27,0.716
784,7,0.671
785,13,0.836
785,5,0.483
786,15,0.758
786,9,0.381
787,27,0.738
788,9,0.718
788,28,0.486
789,27,0.825
790,27,0.766
790,6,0.616
791,13,0.891
792,23,0.751
793,22,0.957
793,28,0.509
794,5,0.959
794,16,0.635
795,5,0.784
796,22,0.921
796,11,0.474
797,5,0.767
798,5,0.984
799,13,0.969
799,2,0.316
800,22,0.841
